Date,Open,High,Low,Close,Adj Close,Volume
2019-08-19,4.580000,4.660000,4.500000,4.620000,4.620000,13171900
2019-08-20,4.570000,4.580000,4.370000,4.480000,4.480000,10761800
2019-08-21,4.550000,4.670000,4.500000,4.640000,4.640000,11462100
2019-08-22,4.590000,4.750000,4.500000,4.510000,4.510000,8024600
2019-08-23,4.400000,4.470000,4.150000,4.190000,4.190000,14886300
2019-08-26,4.290000,4.370000,4.130000,4.170000,4.170000,10118200
2019-08-27,4.190000,4.230000,3.960000,3.960000,3.960000,14104200
2019-08-28,4.060000,4.300000,4.020000,4.210000,4.210000,17739900
2019-08-29,4.240000,4.420000,4.240000,4.360000,4.360000,10708200
2019-08-30,4.320000,4.360000,4.060000,4.110000,4.110000,20177300
2019-09-03,4.000000,4.070000,3.760000,3.780000,3.780000,16533100
2019-09-04,3.860000,3.920000,3.750000,3.780000,3.780000,14806300
2019-09-05,3.840000,4.130000,3.810000,4.090000,4.090000,16708100
2019-09-06,3.980000,4.180000,3.980000,4.080000,4.080000,12390500
2019-09-09,4.350000,4.740000,4.340000,4.710000,4.710000,38771500
2019-09-10,4.700000,4.860000,4.630000,4.720000,4.720000,17509500
2019-09-11,4.790000,4.840000,4.430000,4.650000,4.650000,17698000
2019-09-12,4.480000,4.710000,4.350000,4.360000,4.360000,14459700
2019-09-13,4.510000,4.590000,4.370000,4.510000,4.510000,10669400
2019-09-16,5.130000,5.360000,4.910000,5.320000,5.320000,35050500
2019-09-17,5.260000,5.280000,4.770000,4.780000,4.780000,17929800
2019-09-18,4.690000,4.730000,4.570000,4.680000,4.680000,8532000
2019-09-19,4.770000,4.800000,4.510000,4.540000,4.540000,15728200
2019-09-20,4.560000,4.660000,4.490000,4.530000,4.530000,15154100
2019-09-23,4.630000,4.750000,4.460000,4.510000,4.510000,22664700
2019-09-24,4.410000,4.670000,4.410000,4.550000,4.550000,15095700
2019-09-25,4.440000,4.620000,4.400000,4.600000,4.600000,56707800
2019-09-26,4.530000,4.660000,4.310000,4.530000,4.530000,17021700
2019-09-27,4.450000,4.580000,4.350000,4.450000,4.450000,12094800
2019-09-30,4.410000,4.420000,4.210000,4.340000,4.340000,14312000
2019-10-01,4.390000,4.480000,3.980000,4.010000,4.010000,23345800
2019-10-02,3.970000,4.140000,3.880000,3.920000,3.920000,22665800
2019-10-03,3.870000,4.040000,3.750000,3.970000,3.970000,17856200
2019-10-04,3.960000,4.050000,3.790000,3.930000,3.930000,10834200
2019-10-07,3.920000,4.070000,3.840000,3.910000,3.910000,10768700
2019-10-08,3.830000,4.070000,3.830000,3.900000,3.900000,11209300
2019-10-09,4.000000,4.030000,3.860000,3.940000,3.940000,9465200
2019-10-10,3.940000,4.060000,3.750000,4.010000,4.010000,19736600
2019-10-11,4.080000,4.200000,4.040000,4.120000,4.120000,7984300
2019-10-14,4.000000,4.070000,3.790000,3.850000,3.850000,14402900
2019-10-15,3.810000,4.020000,3.750000,3.920000,3.920000,14537500
2019-10-16,3.920000,4.030000,3.890000,3.970000,3.970000,12014600
2019-10-17,3.960000,4.100000,3.920000,4.090000,4.090000,19841000
2019-10-18,4.080000,4.110000,3.820000,3.820000,3.820000,16123200
2019-10-21,3.850000,3.930000,3.700000,3.710000,3.710000,23690600
2019-10-22,3.720000,3.920000,3.690000,3.810000,3.810000,21148700
2019-10-23,3.800000,4.120000,3.730000,4.110000,4.110000,10931900
2019-10-24,4.150000,4.170000,3.970000,4.080000,4.080000,16810000
2019-10-25,4.090000,4.170000,4.010000,4.120000,4.120000,12362900
2019-10-28,4.140000,4.310000,4.080000,4.110000,4.110000,10479100
2019-10-29,4.070000,4.220000,4.040000,4.150000,4.150000,13241900
2019-10-30,4.120000,4.230000,3.900000,3.910000,3.910000,13622800
2019-10-31,3.880000,3.920000,3.690000,3.800000,3.800000,17695600
2019-11-01,4.010000,4.110000,3.810000,3.960000,3.960000,48229200
2019-11-04,4.060000,4.290000,4.060000,4.190000,4.190000,28268600
2019-11-05,4.300000,4.840000,4.110000,4.440000,4.440000,39168800
2019-11-06,4.400000,4.590000,4.270000,4.270000,4.270000,35600900
2019-11-07,4.390000,4.420000,4.160000,4.320000,4.320000,25073200
2019-11-08,4.210000,4.560000,4.160000,4.540000,4.540000,19581900
2019-11-11,4.440000,4.670000,4.410000,4.640000,4.640000,12877100
2019-11-12,4.680000,4.740000,4.560000,4.620000,4.620000,14589200
2019-11-13,4.560000,4.590000,4.410000,4.460000,4.460000,11120400
2019-11-14,4.560000,4.600000,4.150000,4.190000,4.190000,54320200
2019-11-15,4.260000,4.450000,4.250000,4.370000,4.370000,22819500
2019-11-18,4.300000,4.360000,3.820000,3.940000,3.940000,25359700
2019-11-19,3.890000,3.910000,3.670000,3.680000,3.680000,18263200
